success,outcome,time_to_target,sim_duration,control_effort,min_safety_margin,n_infeasible,n_steps,mean_step_ms,total_solve_ms,dt_mpc,N_hor,T_hor_actual,method,cand_id,N_CANDIDATES,seed,u1_max,u2_max
True,REACHED,1.15,1.15,27.904062550790083,2.1626176352639045e-06,0,46,119.55105523931864,5499.348541008658,0.025,50,1.25,Vanilla MPC,102,300,42,7.7,5.1
True,REACHED,0.8000000000000004,0.8000000000000004,33.55465069074105,1.2952172029960843e-06,0,32,117.01581768738832,3744.5061659964263,0.025,50,1.25,Vanilla MPC,103,300,42,7.7,5.1
True,REACHED,1.399999999999999,1.399999999999999,56.01347870642245,4.57895281992153e-07,0,56,125.6066480356302,7033.97228999529,0.025,50,1.25,Vanilla MPC,104,300,42,7.7,5.1
True,REACHED,1.2499999999999996,1.2499999999999996,31.775796818287713,3.428307365517659e-06,0,50,131.82617664104328,6591.308832052164,0.025,50,1.25,Vanilla MPC,105,300,42,7.7,5.1
True,REACHED,0.9000000000000005,0.9000000000000005,34.627906193400264,1.8268544753662303e-06,0,36,127.02380569519138,4572.85700502689,0.025,50,1.25,Vanilla MPC,106,300,42,7.7,5.1
True,REACHED,0.8750000000000004,0.8750000000000004,15.669468906624443,2.3238149010250902e-06,0,35,122.26070360172471,4279.124626060366,0.025,50,1.25,Vanilla MPC,107,300,42,7.7,5.1
True,REACHED,1.1,1.1,35.026655607111195,2.232066755152396e-06,0,44,113.10853972695028,4976.775747985812,0.025,50,1.25,Vanilla MPC,108,300,42,7.7,5.1
True,REACHED,0.6000000000000002,0.6000000000000002,9.973593330946876,3.80512069859959,0,24,112.010341875551,2688.248205013224,0.025,50,1.25,Vanilla MPC,109,300,42,7.7,5.1
True,REACHED,1.3749999999999991,1.3749999999999991,56.06978229662761,3.6390797515422e-06,0,55,121.55470452853478,6685.508749069413,0.025,50,1.25,Vanilla MPC,110,300,42,7.7,5.1
False,INFEASIBLE_STEP1,,0.0,0.0,7.590778356202586,1,0,1792.7967089926824,1792.7967089926824,0.025,50,1.25,Vanilla MPC,111,300,42,7.7,5.1
True,REACHED,1.3499999999999992,1.3499999999999992,36.90143155212618,1.0291903830159282e-06,0,54,119.79268983446268,6468.805251060985,0.025,50,1.25,Vanilla MPC,112,300,42,7.7,5.1
True,REACHED,0.4750000000000001,0.4750000000000001,9.620768786612077,6.379894011701255e-05,0,19,91.861745630587,1745.3731669811532,0.025,50,1.25,Vanilla MPC,113,300,42,7.7,5.1
True,REACHED,1.3499999999999992,1.3499999999999992,56.619733753968184,8.001695277534587e-07,0,54,125.6982754442746,6787.706873990828,0.025,50,1.25,Vanilla MPC,114,300,42,7.7,5.1
True,REACHED,0.9250000000000004,0.9250000000000004,21.683678505439943,1.6801802902047248e-06,0,37,126.17783678335302,4668.5799609840615,0.025,50,1.25,Vanilla MPC,115,300,42,7.7,5.1
False,INFEASIBLE_STEP1,,0.0,0.0,0.0715250524678965,1,0,662.4493340059416,662.4493340059416,0.025,50,1.25,Vanilla MPC,116,300,42,7.7,5.1
True,REACHED,1.2499999999999996,1.2499999999999996,34.240712338219076,2.495028674777894e-06,0,50,117.94029073935236,5897.0145369676175,0.025,50,1.25,Vanilla MPC,117,300,42,7.7,5.1
True,REACHED,0.8750000000000004,0.8750000000000004,33.315701843284536,6.210249990522879e-07,0,35,123.88556182767,4335.9946639684495,0.025,50,1.25,Vanilla MPC,118,300,42,7.7,5.1
True,REACHED,1.2999999999999994,1.2999999999999994,34.33908787319962,1.940269354305675e-06,0,52,123.43330936514226,6418.532086987398,0.025,50,1.25,Vanilla MPC,119,300,42,7.7,5.1
True,REACHED,1.1,1.1,48.372643587741585,2.453052698835858e-06,0,44,116.04470838574343,5105.967168972711,0.025,50,1.25,Vanilla MPC,120,300,42,7.7,5.1
True,REACHED,0.4250000000000001,0.4250000000000001,7.505611626401715,0.4248410168309929,0,17,108.09242882533,1837.5712900306096,0.025,50,1.25,Vanilla MPC,121,300,42,7.7,5.1
False,INFEASIBLE_STEP1,,0.0,0.0,9.595733327511628,1,0,873.205666008289,873.205666008289,0.025,50,1.25,Vanilla MPC,122,300,42,7.7,5.1
False,INFEASIBLE_STEP1,,0.0,0.0,6.575919605703361,1,0,588.9257499948144,588.9257499948144,0.025,50,1.25,Vanilla MPC,123,300,42,7.7,5.1
True,REACHED,1.2249999999999996,1.2249999999999996,33.16286892757323,1.0870353326421232e-06,0,49,161.18455871408662,7898.043376990245,0.025,50,1.25,Vanilla MPC,124,300,42,7.7,5.1
True,REACHED,0.8750000000000004,0.8750000000000004,20.76026799834812,1.915644448590965e-06,0,35,129.2836320569872,4524.927121994551,0.025,50,1.25,Vanilla MPC,125,300,42,7.7,5.1
